470,County D,Paved,0.1,5.4,89,Menomonie,Dunn,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr89.aspx,196.785046519614
471,Dalton Rd,Paved,0.2,4.4,104,Marcellon,Columbia,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr104.aspx,355.117949464824
472,Division Rd S,Paved,0.5,2.3,30,Norway,Racine,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr30.aspx,858.58780321712
473,Donegal Rd,Paved,1.5,12.1,33,Erin,Washington,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr33.aspx,2400.22738032904
474,Dutch Hollow Rd,Paved,2.8,8.5,56,Whitestown,Vernon,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr56.aspx,4517.58843003638
475,Dyreson Rd E,Paved,2.9,2.9,20,Dunn,Dane,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr20.aspx,4601.73528281956
476,County E,Paved,7,13,6,Birch Creek,Chippewa,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr6.aspx,11196.9042315475
477,County E,Paved,6.1,13,6,Cleveland,Chippewa,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr6.aspx,9794.30430954608
478,County E,Paved,2.2,2.2,80,Scott,Burnett,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr80.aspx,3518.12858960317
479,East Side Rd,Paved,0.5,27,119,Washington,Door,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr119.aspx,819.269131966161
480,Ember Dr,Unpaved,0.2,1.9,14,Easton,Adams,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr14.aspx,252.411402688203
481,Ember Dr,Unpaved,1.8,1.9,14,Easton,Adams,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr14.aspx,2855.53498014249
482,Emerald Dr,Paved,3.5,12.1,33,Erin,Washington,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr33.aspx,5593.61746043811
483,Emmons Creek Rd,Paved,2.7,2.7,24,Dayton,Waupaca,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr24.aspx,4419.41747550285
484,Ensch Rd,Paved,0.6,7.6,66,Benton,Lafayette,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr66.aspx,947.945090854169
485,Fairfield St,Paved,1,11.2,49,Portage,Columbia,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr49.aspx,1627.29537333127
486,Federal Forest Rd 174,Unpaved,4.4,25.3,111,Round Lake,Sawyer,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr111.aspx,7039.53935195313
487,Federal Forest Rd 174,Unpaved,0.7,25.3,111,Spider Lake,Sawyer,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr111.aspx,1144.46177537281
488,Federal Forest Rd 176,Unpaved,0.8,25.3,111,Spider Lake,Sawyer,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr111.aspx,1279.9626418273
489,County B,Paved,2.7,3.7,43,Brighton,Kenosha,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr43.aspx,4346.74413055437
490,County B,Paved,0.3,2.5,10,Delafield,Waukesha,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr10.aspx,430.616243309348
491,County B,Paved,1,3.7,43,Dover,Racine,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr43.aspx,1616.18168853097
492,County B,Paved,1.1,2.5,10,Summit,Waukesha,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr10.aspx,1691.50608843486
493,County B,Paved,0.2,2.5,31,West Salem,La Crosse,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr31.aspx,314.021986436265
494,Back Rd,Paved,2.9,5.7,12,Lyons,Walworth,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr12.aspx,4634.1593778324
495,Bark River Rd,Paved,2.2,2.2,84,Koshkonong,Jefferson,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr84.aspx,3533.16925444541
496,Barron - Polk St,Paved,1.3,4.5,67,Almena,Barron,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr67.aspx,2114.00953168147
497,Barry Rd,Paved,0.2,4.4,104,Buffalo,Marquette,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr104.aspx,283.736886089738
498,Barry Rd,Paved,0.8,4.4,104,Marcellon,Columbia,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr104.aspx,1293.24218810005
499,Bay Shore Rd,Unpaved,3.7,26,118,Wabeno,Forest,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr118.aspx,5990.23672388154
500,Beebe Rd,Paved,1.2,7.6,66,Benton,Lafayette,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr66.aspx,1885.23192543239
501,Berndt Rd,Paved,1.1,3.4,36,Lyons,Walworth,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr36.aspx,1795.59283535341
502,Blue Lake Rd,Paved,6.5,9.6,58,Minocqua,Oneida,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr58.aspx,10397.8701406913
503,Bluegoose Rd,Unpaved,0.4,6.6,52,Saukville,Ozaukee,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr52.aspx,644.923557347969
504,Bluegoose Rd,Paved,0.7,6.6,52,Saukville,Ozaukee,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr52.aspx,1048.00055767762
505,Boat Landing Rd,Unpaved,0.4,13.1,105,Fifield,Price,https://wisconsindot.gov/Pages/travel/road/rustic-roads/rr105.aspx,587.092873963883
